,city,country,lat,lng,temp,humidity,cloudiness,wind_speed
0,higuey,do,19.095516123565233,-68.27056301954963,82.4,65,20,11.41
1,surgana,in,20.478906466901783,73.72344731973038,76.05,38,92,2.48
2,kaliua,tz,-5.648866987271186,31.699318059479026,67.23,91,8,1.92
3,puerto suarez,bo,-18.95555535281808,-58.63420017942009,93.42,65,8,11.88
4,port hardy,ca,50.499509125072784,-126.35912101833604,38.7,94,36,1.7
5,wattegama,lk,3.5056861715901677,86.72453048907583,85.5,99,88,13.22
6,kaitangata,nz,-50.967932153969244,170.83870506194484,51.66,96,88,19.82
7,punta arenas,cl,-56.77036698473096,-76.06805605267542,42.3,100,76,26.31
8,nipawin,ca,52.935447604908944,-103.57386763045103,28.4,86,90,3.36
9,goure,ne,15.985963069556348,11.363594881036452,80.91,9,0,3.38
10,ahipara,nz,-35.33888037548397,169.53658351437994,67.5,100,92,10.87
11,rikitea,pf,-82.1209651231688,-127.04990866563085,15.39,80,68,23.17
12,kapaa,us,34.57746561703764,-153.90836492647753,54.18,100,24,25.41
13,saskylakh,ru,73.5446402592657,113.10978185782254,-12.42,80,36,8.41
14,hobart,au,-71.28872051932503,138.85232878897224,-56.25,0,8,17.69
15,puerto ayora,ec,-11.590835513640842,-107.94815639753082,76.23,100,76,14.67
16,letchworth,gb,52.13006130693502,-0.0970842203113409,30.22,80,75,13.87
17,nemuro,jp,40.87030747737665,146.21358248214938,39.42,100,64,17.92
18,albany,au,-50.26137162995622,120.73274014705017,43.11,100,92,37.83
19,vaini,to,-82.76712237846603,-171.59740756127786,16.47,83,80,26.53
20,illoqqortoormiut,gl,71.5184816760099,-18.849027276984675,13.14,100,0,9.19
21,kiruna,se,67.49009961420846,20.334230993098966,24.76,73,44,17.22
22,russell,nz,-25.819645214032104,179.4470058432248,73.8,100,92,6.4
23,jamestown,sh,-28.501245935179917,-17.994542764707216,76.68,100,76,12.44
24,saint-augustin,ca,54.841299860204686,-61.6932183137028,28.26,94,80,5.84
25,kloulklubed,pw,6.130092357455455,130.87286719947372,81.81,100,76,17.13
26,mount gambier,au,-57.18741939288193,128.58520597821413,33.84,100,88,6.06
27,mataura,pf,-64.72882471805895,-151.13979168925857,32.4,97,0,17.25
28,clyde river,ca,68.97207273580405,-75.8733714374851,-11.7,77,56,5.39
29,yuzhno-yeniseyskiy,ru,59.57613737421099,94.97988768625872,18.9,89,36,2.71
30,kokstad,za,-30.408921206979247,29.910505686728076,57.15,95,76,4.16
31,ushuaia,ar,-53.740101521853646,-58.00791722804192,45,100,92,35.7
32,atuona,pf,4.847685750016311,-124.42705827005686,79.2,100,80,13.44
33,watsa,cd,3.556210659738388,29.67781799345351,75.42,74,36,8.86
34,padang,id,-10.469680319952143,87.66987793323794,83.7,100,80,4.16
35,faanui,pf,-0.13723624211355978,-154.8979163178209,78.39,98,8,19.71
36,provideniya,ru,62.84351692031275,-174.89338218244754,8.73,100,88,41.41
37,hammerfest,no,72.64004253933918,22.352175650812285,36.36,100,68,28.54
38,gizo,sb,-7.809921380084898,156.20006694029695,82.71,100,76,17.81
39,rocha,uy,-44.418319675862435,-46.61406110851669,63.36,94,92,14.67
40,constitucion,mx,12.853911001094321,-126.99592813718132,78.12,100,80,16.46
41,khani,ru,59.1104633052707,121.57053028621853,3.42,53,48,10.2
42,yulara,au,-23.218211819381253,127.2638324474025,70.38,30,0,5.95
43,saldanha,za,-42.446075690999486,-6.640618845530595,58.32,93,0,15.68
44,ketchikan,us,48.21795793577325,-137.012848214349,42.03,100,12,8.75
45,katsuura,jp,19.751211165030398,150.91096952839976,78.66,100,24,15.01
46,honiara,sb,-11.422226500752691,159.24945640828133,84.96,100,64,14.79
47,freire,cl,-38.878154291682264,-72.46594255763779,53.55,94,92,3.6
48,praia da vitoria,pt,47.09271603377878,-22.19079105673994,51.03,100,92,14.67
49,turayf,sa,33.773280488898216,38.83210732580612,50.49,45,0,4.72
50,waipawa,nz,-46.19814001008463,177.73044359562132,55.26,100,0,9.31
51,teahupoo,pf,-20.057771496892503,-148.43166937478486,75.87,100,92,8.41
52,kahului,us,33.13655860128082,-150.23518404572874,59.13,100,92,5.95
53,belushya guba,ru,71.54848687795483,54.54154826758848,-12.78,79,56,24.4
54,saint-joseph,re,-34.3581481405759,56.08272079194207,68.58,100,80,11.88
55,huarmey,pe,-11.928160898140895,-82.90648339677094,76.68,100,12,11.54
56,nome,us,61.67830744106778,-166.60627598414578,26.58,92,90,11.41
57,sentyabrskiy,ru,26.82975104981786,161.82865255705622,72,99,12,11.99
58,bluff,nz,-82.0051779239718,158.81392793487717,-21.06,49,44,1.59
59,pancas,br,-19.348558791760308,-40.83083781249854,82.26,86,24,4.16
60,ponta delgada,pt,31.718630388591286,-28.5850962570045,65.52,100,56,8.63
61,kavieng,pg,6.438347141772368,151.41857344545963,82.53,100,48,12.1
62,port alfred,za,-75.8841034638781,51.55002436122658,-49.77,0,0,25.52
63,santa isabel do rio negro,br,-0.273910389878963,-64.25492124912083,86.22,73,64,5.28
64,yellowknife,ca,82.66435496521352,-104.03549084937636,-23.04,35,36,6.62
65,yinchuan,cn,38.808975878406706,105.10794026971905,35.01,92,24,4.16
66,bredasdorp,za,-85.75941827159848,27.121897211912263,-60.66,0,32,12.77
67,hermanus,za,-84.01824603867608,-5.0472412731485505,-56.7,0,0,16.8
68,miramar,mx,22.25238201852131,-97.37307595754142,80.6,74,40,6.93
69,pevek,ru,80.72439474237906,173.5207544288869,-25.38,40,24,7.29
70,geraldton,au,-35.43285792112526,85.0719455566086,65.79,100,92,16.24
71,marcona,pe,-15.368388014301939,-75.25872212347325,70.29,80,0,13.56
72,upernavik,gl,82.44050503628988,-59.08079406766374,-13.86,86,44,5.39
73,komsomolskiy,ru,69.04670533202379,171.604807031928,-39.87,0,0,0.69
74,jabiru,au,-13.018953135891604,132.16176967620189,73.98,94,92,17.02
75,pisco,pe,-25.726961145308945,-97.24668531271199,73.08,100,24,6.4
76,hamilton,bm,29.43977193508458,-66.06117111617189,68.22,100,0,9.08
77,bordighera,it,43.253638642471124,7.801907622014232,57.2,50,20,20.8
78,busselton,au,-40.950509018452955,90.06763244920536,55.98,100,12,5.73
79,coquimbo,cl,-30.37422497914198,-76.82019063116964,65.25,100,0,17.02
80,camacha,pt,34.101913608501526,-14.38162857816091,62.91,96,92,29.33
81,sawakin,sd,20.262770940786694,36.90187727729857,63.36,29,0,3.49
82,port elizabeth,za,-85.66873864638187,37.351280313222425,-63.99,0,24,8.19
83,avarua,ck,-41.24645802970361,-163.3306195599091,59.67,100,76,19.04
84,hilo,us,12.913916436321633,-149.26195837924095,77.85,100,36,18.59
85,chokurdakh,ru,79.72229641175302,152.34940665039485,-5.67,73,48,8.63
86,richards bay,za,-28.964594776311632,32.36472448989221,73.89,100,32,13.67
87,cidreira,br,-48.10619465456222,-33.55739327639572,55.17,89,92,27.54
88,harper,lr,4.920177304347791,-8.310846258103638,83.61,70,24,10.98
89,galle,lk,3.8039758430024087,78.58929957139317,83.25,100,88,10.65
90,lata,sb,-8.901757290614157,165.25217059293846,76.77,100,88,4.27
91,castro,cl,-54.11889948712467,-105.67886940285028,42.75,100,92,34.47
92,saint george,bm,30.124423374076255,-49.06615870372045,67.5,100,92,28.88
93,yenagoa,ng,2.808230603198357,3.4623241246831515,78.93,100,92,6.62
94,tsihombe,mg,-32.632953200733056,45.7268106354099,68.49,100,92,22.73
95,saleaula,ws,-2.93280070737136,-167.52248751066068,80.73,100,48,18.48
96,lampazos de naranjo,mx,27.397919169884183,-100.54454172201628,87.03,30,0,8.63
97,akyab,mm,18.294491707756933,91.38506758914194,81,97,92,3.6
98,esperance,au,-48.19478821427783,125.76584732949284,46.53,100,92,33.35
99,chuy,uy,-47.07512193582671,-40.66520667703411,60.03,94,88,24.07
100,nakusp,ca,49.92493894677108,-117.78006802895311,31.32,78,0,1.7
101,lorengau,pg,12.141645942408543,149.7750716053966,78.75,100,92,19.93
102,sambava,mg,-13.437701884510771,52.419307323881746,83.61,94,68,28.54
103,salvador,br,-14.177552754564282,-37.22208362989813,82.26,100,68,8.75
104,college,us,65.71297755645449,-149.80036942648502,-3.87,76,12,3.27
105,hambantota,lk,2.283170790183134,82.82577500285281,82.62,100,64,10.87
106,nabire,id,-3.0694332219948297,137.97845249276597,70.02,100,92,1.36
107,sao paulo de olivenca,br,-3.1377897218628914,-69.5546158812589,86.13,75,68,3.15
108,saint-pacome,ca,47.07764339377545,-69.77172992533835,12.2,47,48,10.29
109,nizhneyansk,ru,81.99158633426204,137.5535830698444,-10.98,75,64,10.76
110,bloemhof,za,-27.355413050062467,25.525652943790508,63,100,92,8.08
111,comodoro rivadavia,ar,-48.69531217476462,-68.08736557872963,61.56,37,68,9.75
112,qaqortoq,gl,64.70837643883189,-43.784129499493,3.69,80,68,13.22
113,berbera,so,11.336186621455413,45.737428204028866,78.39,100,0,9.64
114,soyo,ao,-6.173704002866436,11.35562211276827,83.25,100,0,11.99
115,formoso do araguaia,br,-11.057713918199482,-52.377853745110315,89.46,67,36,3.15
116,thompson,ca,59.79049417147679,-99.3671833996259,-3.87,89,56,9.42
117,kichera,ru,56.61144834945263,110.20232346737882,-2.7,74,8,2.04
118,mangochi,mw,-14.449914614604207,35.52169962638809,75.15,76,36,7.52
119,viedma,ar,-40.820067419827375,-64.7405628475345,68.94,67,76,2.82
120,iqaluit,ca,66.48794585434581,-79.63284802583404,-15.21,92,8,26.87
121,marfino,ru,47.732066129093376,49.308459506210845,31.05,79,44,10.09
122,bambanglipuro,id,-16.247677944794066,109.39639992094523,84.06,100,0,12.77
123,cape town,za,-65.6513575514952,-4.281985914264856,33.39,96,88,14
124,lagos,pt,35.5353389594988,-9.558492641581894,61.74,98,92,37.38
125,hami,cn,40.791884117059354,95.04502172391548,32.04,63,0,2.59
126,alice springs,au,-26.33711008085322,136.27906896559014,69.84,52,0,4.83
127,rio gallegos,ar,-52.11672744963509,-68.07520809270724,51.75,95,88,30.56
128,san pedro de macoris,do,15.945750869635742,-69.40661924701088,79.11,98,32,17.69
129,sosnogorsk,ru,63.816044545709964,54.055301407367836,1.08,60,56,4.83
130,meulaboh,id,-5.600976488086956,88.76474890302534,83.43,100,64,6.17
131,tres arroyos,ar,-37.85125550821754,-61.0671923080833,87.39,31,0,10.65
132,fort collins,us,40.661494314461216,-105.54906915206384,42.8,48,1,5.82
133,talnakh,ru,70.22411069467823,91.01817805013275,-27.63,0,0,2.71
134,east london,za,-84.3481210413726,60.38352336673647,-80.1,0,12,4.61
135,lima,pe,-17.24833718518299,-86.36045926083914,70.92,100,0,18.37
136,kodiak,us,54.99333976893469,-147.54306757922024,40.05,96,92,9.75
137,cam ranh,vn,11.622187795803198,111.14192500495695,80.37,98,64,13.89
138,labuhan,id,-7.665627786366407,104.95894840854585,82.89,100,36,5.39
139,rio grande,br,-43.695878405886724,-38.81489532871471,60.75,93,56,20.94
140,barrow,us,88.66549312750915,-144.68307260067903,-13.68,86,76,6.51
141,kanniyakumari,in,8.135826257464755,77.77029215070478,80.28,85,32,8.86
142,ruatoria,nz,-37.2034356292036,178.3031889172032,67.32,100,36,26.19
143,vaitupu,wf,-3.843055403430969,-177.77496713652948,83.79,99,92,14.79
144,rockland,us,42.96548023181845,-68.70905604992831,32.4,100,80,29.55
145,severo-kurilsk,ru,38.954801774591,158.82057025803877,44.19,100,48,20.49
146,taolanaro,mg,-41.87984894701275,51.111609532220385,51.12,100,0,34.92
147,alofi,nu,-21.36293227328562,-170.82531187391234,79.29,100,8,8.75
148,atar,mr,22.26771926086306,-11.688503075790617,74.52,24,0,10.42
149,adrar,dz,25.116707425559653,4.008179040966191,66.96,17,0,8.41
150,saint-philippe,re,-33.61221345353909,59.88434404267915,71.1,98,88,12.88
151,salgado,br,-11.09033222797674,-37.41946077887259,86,62,20,16.11
152,hibbing,us,47.117672757254354,-93.00995999351797,40.05,25,1,4.7
153,labuan,my,6.357223834058118,113.78800525819358,81.72,97,12,13.89
154,carnarvon,au,-27.16156583000818,103.43705254782311,70.38,100,80,19.82
155,diamantino,br,-12.398276548117122,-56.37426525425953,87.93,64,32,2.82
156,touros,br,2.0706889482731827,-27.881685922582193,79.29,100,48,5.95
157,lasa,cn,34.483877996998814,86.6653636529043,-7.92,59,0,4.83
158,hithadhoo,mv,-19.12155102026879,83.28650112656072,76.5,100,92,18.92
159,orcotuna,pe,-12.012777415118197,-75.35733139760389,49.32,78,68,3.71
160,paracuru,br,3.777252230891267,-34.375805683919516,79.65,100,68,13.56
161,tiksi,ru,76.13289945491552,130.05544856727033,-19.71,58,32,12.55
162,souillac,mu,-37.07599510911398,67.32608846589206,66.42,100,92,10.42
163,fare,pf,-8.980444784331523,-148.588956944773,82.26,100,92,17.25
164,paamiut,gl,61.371954875575206,-52.27109775409311,36.99,100,76,14.79
165,kavaratti,in,8.964764868392015,70.09806992439175,83.07,100,0,6.51
166,grand gaube,mu,-15.197095391763156,66.00231507210212,83.16,99,88,16.8
167,georgetown,sh,-2.5716292835989263,-9.723181994826618,80.91,100,20,8.08
168,almeirim,br,0.04038006166947827,-52.942904785661945,85.68,68,44,3.04
169,karamay,cn,45.747982804285954,84.94258513446617,36.36,83,68,4.72
170,wangaratta,au,-37.01641146289667,146.54149622324897,69.57,45,8,8.19
171,chimbote,pe,-9.549062385318619,-79.86394724643569,71.37,99,8,8.3
172,qaanaaq,gl,89.6775833884352,-85.87240706815396,-17.55,53,24,10.65
173,mugur-aksy,ru,48.06812789958648,90.66602082216025,10.17,99,48,1.7
174,oranjemund,na,-29.27455448878668,16.93012175486551,67.05,61,0,23.29
175,villa carlos paz,ar,-31.14347405125264,-64.88326951645533,93.2,38,0,3.36
176,inirida,co,4.169353111476882,-64.58491542736172,80.82,57,8,2.82
177,candawaga,ph,10.409493435908939,115.69342880864492,83.16,97,20,16.24
178,bengkulu,id,-6.828637792345234,96.8813684284439,83.88,100,12,2.37
179,coihaique,cl,-47.36431846300191,-71.51170916380342,53.64,47,48,8.63
180,saint-jovite,ca,46.0414268794165,-74.76987668476822,16.47,35,0,7.52
181,zachagansk,kz,51.648745951522855,51.41729782611142,17.6,85,0,4.47
182,new norfolk,au,-56.95342195990014,140.24450141593115,41.58,92,92,41.85
183,saquarema,br,-25.268541730335908,-42.662023026891724,77.4,100,12,8.97
184,los llanos de aridane,es,31.155302305063348,-22.597427642782343,65.16,100,44,14
185,galgani,sd,12.22568921159112,33.615234646802186,79.65,19,0,9.75
186,upington,za,-28.0787056262868,20.585325611654525,78.84,27,0,4.83
187,lebu,cl,-35.353582278341584,-103.1453520724281,66.15,100,64,6.17
188,sao filipe,cv,7.072499857718344,-31.00665995365831,77.76,100,24,17.69
189,thinadhoo,mv,1.0428789990452425,65.32322424080608,84.06,100,12,11.21
190,gamba,ga,-6.510914438334876,4.956459794136798,81.72,100,88,9.19
191,prainha,br,-0.3874207705701438,-53.583947249504966,87.3,60,68,2.93
192,ponta do sol,pt,33.36560557244225,-18.47233339504982,64.26,97,92,23.06
193,sharjah,ae,25.58126357195654,56.12860272185399,75.29,78,0,4.7
194,camacupa,ao,-12.673602813986758,18.481127642565667,71.37,72,76,3.83
195,santa maria da vitoria,br,-12.832683866911601,-44.063002958411595,85.68,77,32,4.5
196,klaksvik,fo,72.24383323836624,-5.2845447889205595,22.32,100,20,26.19
197,baherden,tm,39.20315572465098,57.552760183261555,54.63,90,92,10.65
198,kruisfontein,za,-89.29187746008793,30.297403046697617,-53.82,0,32,12.88
199,talcahuano,cl,-35.32489591470574,-74.51093182337932,60.48,100,68,16.8
200,ponta do sol,cv,18.654235589310723,-34.62412468842054,71.82,100,20,18.81
201,buy,ru,59.0707253451791,41.60874621556896,-7.38,61,0,5.95
202,tuatapere,nz,-52.21389522646487,161.70541889699973,50.31,92,88,32.12
203,sao francisco de assis,br,-29.685545839257642,-54.988323754962686,80.46,100,12,5.39
204,attawapiskat,ca,53.07866108014476,-83.58006175613752,-2.7,86,24,8.41
205,airai,pw,12.830388388016127,142.58724831589936,80.73,100,76,18.81
206,poum,nc,-17.443217662891115,163.24257004386672,80.91,100,56,15.79
207,caceres,br,-15.35219952894613,-58.304020944783694,92.97,64,20,4.83
208,manta,ec,0.37790294827519166,-84.7570044175811,76.5,100,12,3.71
209,longyearbyen,sj,79.0729344371446,16.844651660502596,22.32,94,80,12.66
210,victoria,sc,-0.8619699031000394,53.92050224854598,80.28,100,0,7.4
211,axim,gh,-2.2248565283085107,-3.2166811258257466,81.09,100,76,7.18
212,lagoa,pt,41.19638546551794,-29.368653641028914,60.93,93,80,19.93
213,sobolevo,ru,57.45981070774844,155.31570147268118,25.65,100,80,30.11
214,buala,sb,-3.570705913136721,160.5264309664054,82.62,100,88,4.83
215,arraial do cabo,br,-34.68843591625405,-26.289812665252036,72.45,98,12,22.39
216,vila franca do campo,pt,36.75097368953105,-22.323490475283826,63.63,95,80,21.5
217,ouadda,cf,9.155118103772127,22.074433353358124,82.98,17,0,8.41
218,dunedin,nz,-56.13885565228525,178.41801863565254,45.63,93,92,21.5
219,tramandai,br,-29.890638002895276,-50.0927235357756,75.24,100,20,17.92
220,galveston,us,27.44214234408474,-93.50423466053358,73.4,88,1,10.29
221,svetlaya,ru,47.61826018011858,137.75179224913774,19.53,74,68,4.83
222,coffs harbour,au,-30.20659305502879,153.1793147688634,71.6,73,0,4.7
223,hualmay,pe,-20.860142727764526,-93.62790724460149,71.46,100,88,16.24
224,bull savanna,jm,17.37839675311599,-77.5819951831122,79.83,99,8,18.7
225,khandbari,np,28.019305778849276,87.67895167948649,7.2,74,48,1.81
226,outjo,na,-20.378577087696826,16.07956805043673,69.8,83,36,3.36
227,cristalina,br,-16.719966205953213,-47.26031599835944,82.62,74,36,5.06
228,praia,cv,13.850306015477704,-23.577089816016386,72,100,0,20.27
229,namatanai,pg,3.3225828401814583,158.01166522022734,81.81,100,88,13
230,mahanoro,mg,-20.109954960929617,48.69714215096414,71.28,100,100,10.31
231,ibirataia,br,-13.984514075902212,-39.49887519678711,79.38,84,36,5.61
232,ribeira grande,pt,34.65692734171952,-42.14037897482949,65.7,99,92,30.11
233,mbini,gq,1.7733240708870501,7.88005275001688,78.57,100,92,10.09
234,namibe,ao,-15.235783927372983,5.8133765069029675,74.79,100,12,13.78
235,rawson,ar,-45.28474719495545,-64.55742830791854,59.22,100,0,8.08
236,acarau,br,5.359883366845039,-39.34321174628072,78.75,100,80,14.45
237,ostrovnoy,ru,69.19467096515841,39.348764538696194,21.51,100,68,6.51
238,cooma,au,-37.87253666730538,149.8051948454488,72.9,90,64,23.85
239,vila velha,br,-27.989654374299963,-26.587113539616464,78.66,96,88,22.06
240,bethel,us,44.83202955665751,-172.97739775802734,45.27,89,92,19.71
241,bilma,ne,20.424599432772567,15.797523338855044,77.58,16,0,5.73
242,kununurra,au,-13.423875640117203,125.87869724690363,89.1,90,68,12.77
243,matucana,pe,-11.931117441515507,-76.29363220513304,44.19,100,68,2.26
244,san patricio,mx,9.279510947524697,-114.02517722027925,80.28,100,92,11.77
245,kargopol,ru,61.04745958626452,38.882428515954345,4.86,77,24,9.86
246,boyolangu,id,-15.83220360906453,110.60530271965541,84.69,100,0,11.32
247,laguna,br,-30.88763227406978,-46.58790133808623,72.81,100,0,7.74
248,prince rupert,ca,54.67691816519235,-131.00807440208936,37.33,100,40,2.37
